date,region,category,commodity,unit,price_php,ma_7_day,ma_30_day,volatility_30_day,momentum_pct,change_7d_pct,change_30d_pct
2026-02-07,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,184.68,173.3114285714286,180.9463333333333,8.271931135632329,-4.22,-0.44,0.46
2026-02-08,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,174.82,172.66000000000003,180.38199999999998,8.08484977362405,-4.28,-2.54,-8.83
2026-02-09,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,167.68,172.5471428571429,179.61666666666667,8.166629462734862,-3.94,-0.47,-12.04
2026-02-10,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,170.56,173.50142857142856,179.30566666666667,8.33184198839249,-3.24,4.08,-5.19
2026-02-11,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,159.29,172.57999999999998,178.33233333333334,8.907613436068985,-3.23,-3.89,-15.49
2026-02-12,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,176.93,173.61142857142858,178.09066666666664,8.841596412777315,-2.52,4.25,-3.94
2026-02-13,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,175.54,172.78571428571428,177.6933333333333,8.672243210314763,-2.76,-3.19,-6.36
2026-02-14,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,176.72,171.64857142857142,177.32699999999997,8.464151647002092,-3.2,-4.31,-5.85
2026-02-15,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,170.7,171.06,176.67366666666666,8.179931490874617,-3.18,-2.36,-10.3
2026-02-16,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,166.44,170.88285714285712,175.96333333333334,8.109876198439956,-2.89,-0.74,-11.35
2026-02-17,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,158.0,169.0885714285714,174.82700000000003,8.160474610098909,-3.28,-7.36,-17.75
2026-02-18,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,172.93,171.03714285714287,174.803,8.165112981459593,-2.15,8.56,-0.41
2026-02-19,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,163.22,169.07857142857142,174.49433333333334,8.426792936544855,-3.1,-7.75,-5.37
2026-02-20,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,168.96,168.13857142857142,173.94166666666666,8.218509841996205,-3.34,-3.75,-8.94
2026-02-21,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,167.99,166.89142857142858,173.536,8.201326469667512,-3.83,-4.94,-6.76
2026-02-22,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,175.81,167.62142857142857,173.42433333333335,8.144722295104224,-3.35,2.99,-1.87
2025-12-25,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,86.75,86.75,86.75,,0.0,,
2025-12-26,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,88.11,87.43,87.43,,0.0,,
2025-12-27,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,86.17,87.00999999999999,87.00999999999999,,0.0,,
2025-12-28,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,82.97,86.0,86.0,,0.0,,
2025-12-29,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,84.36,85.672,85.672,,0.0,,
2025-12-30,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,85.59,85.65833333333335,85.65833333333335,,0.0,,
2025-12-31,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,84.19,85.44857142857143,85.44857142857143,1.743066536991906,0.0,,
2026-01-01,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,87.57,85.5657142857143,85.71375,1.7795500033114307,-0.17,0.95,
2026-01-02,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,87.71,85.50857142857141,85.93555555555555,1.7926873061908408,-0.5,-0.45,
2026-01-03,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,89.89,86.03999999999999,86.33099999999999,2.1024771104580418,-0.34,4.32,
2026-01-04,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,85.48,86.39857142857143,86.25363636363636,2.01102099803693,0.17,3.03,
2026-01-05,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,87.15,86.79714285714284,86.32833333333333,1.9348142186282533,0.54,3.31,
2026-01-06,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,84.22,86.60142857142856,86.16615384615385,1.9425436008042751,0.51,-1.6,
2026-01-07,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,82.38,86.34285714285714,85.89571428571428,2.123001193107076,0.52,-2.15,
2026-01-08,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,87.4,86.31857142857143,85.99600000000001,2.08231944852712,0.38,-0.19,
2026-01-09,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,93.27,87.11285714285715,86.450625,2.71181235523404,0.77,6.34,
2026-01-10,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,86.03,86.56142857142858,86.42588235294117,2.6276821031650903,0.16,-4.29,
2026-01-11,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,89.31,87.10857142857142,86.58611111111111,2.638308591166359,0.6,4.48,
2026-01-12,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,89.71,87.4742857142857,86.75052631578947,2.6622514984380548,0.83,2.94,
2026-01-13,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,92.79,88.69857142857143,87.0525,2.9220394373937206,1.89,10.18,
2026-01-14,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,86.07,89.22571428571429,87.00571428571428,2.856110241969962,2.55,4.48,
2026-01-15,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,87.2,89.19714285714288,87.01454545454546,2.787585962411832,2.51,-0.23,
2026-01-16,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,87.31,88.34571428571428,87.02739130434783,2.724191652234249,1.51,-6.39,
2026-01-17,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,93.73,89.44571428571429,87.30666666666667,2.9950679264514153,2.45,8.95,
2026-01-18,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,87.77,89.22571428571429,87.32520000000001,2.9334708111723233,2.18,-1.72,
2026-01-19,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,87.7,88.93857142857144,87.33961538461539,2.8751424044999676,1.83,-2.24,
2026-01-20,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,83.11,87.5557142857143,87.18296296296296,2.934464719652155,0.43,-10.43,
2026-01-21,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,90.62,88.2057142857143,87.30571428571429,2.9519578293829056,1.03,5.29,
2026-01-22,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,92.81,89.00714285714285,87.4955172413793,3.073689716433071,1.73,6.43,
2026-01-23,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,93.5,89.89142857142858,87.69566666666667,3.213033461230759,2.5,7.09,
2026-01-24,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,87.66,89.02428571428571,87.72600000000001,3.20808955933117,1.48,-6.48,1.05
2026-01-25,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,92.57,89.71000000000001,87.87466666666666,3.327612516124927,2.09,5.47,5.06
2026-01-26,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,85.36,89.37571428571428,87.84766666666665,3.345160872718653,1.74,-2.67,-0.94
2026-01-27,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,89.03,90.22142857142856,88.04966666666665,3.2211322525636463,2.47,7.12,7.3
2026-01-28,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,89.88,90.11571428571429,88.23366666666666,3.1601827569732843,2.13,-0.82,6.54
2026-01-29,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,91.64,89.94857142857143,88.43533333333335,3.1786461370161705,1.71,-1.26,7.07
2026-01-30,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,93.7,89.97714285714287,88.75233333333334,3.2146707702219754,1.38,0.21,11.3
2026-01-31,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,92.78,90.70857142857143,88.92599999999999,3.2884778996599224,2.0,5.84,5.95
2026-02-01,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,86.96,89.90714285714284,88.901,3.3008685899738377,1.13,-6.06,-0.86
2026-02-02,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,92.04,90.86142857142856,88.97266666666665,3.346111416135962,2.12,7.83,2.39
2026-02-03,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,90.13,91.01857142857143,89.12766666666667,3.2859016327683785,2.12,1.24,5.44
2026-02-04,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,88.03,90.75428571428571,89.157,3.2715346499031996,1.79,-2.06,1.01
2026-02-05,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,87.8,90.2057142857143,89.27633333333333,3.148209653594962,1.04,-4.19,4.25
2026-02-06,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,97.29,90.71857142857142,89.77333333333333,3.198462274209316,1.05,3.83,18.1
2026-02-07,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,96.97,91.31714285714285,90.09233333333333,3.422950615994952,1.36,4.52,10.95
2026-02-08,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,94.83,92.44142857142856,90.14433333333334,3.4841905836203186,2.55,9.05,1.67
2026-02-09,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,89.93,92.14,90.27433333333333,3.3970531685396157,2.07,-2.29,4.53
2026-02-10,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,84.4,91.32142857142857,90.11066666666666,3.559510750315159,1.34,-6.36,-5.5
2026-02-11,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,93.33,92.07857142857144,90.23133333333332,3.606508229464531,2.05,6.02,4.04
2026-02-12,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,93.79,92.9342857142857,90.26466666666666,3.635477233135103,2.96,6.82,1.08
2026-02-13,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,93.36,92.37285714285714,90.50766666666667,3.588768575020887,2.06,-4.04,8.47
2026-02-14,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,97.7,92.47714285714285,90.85766666666667,3.762851709608779,1.78,0.75,12.04
2026-02-15,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,96.2,92.67285714285715,91.154,3.823397658519496,1.67,1.44,10.18
2026-02-16,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,93.13,93.13,91.134,3.811007288332586,2.19,3.56,-0.64
2026-02-17,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,91.98,94.21285714285715,91.27433333333333,3.7600345590243465,3.22,8.98,4.8
2026-02-18,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,92.49,94.09285714285714,91.434,3.704308395592234,2.91,-0.9,5.46
2026-02-19,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,95.6,94.35142857142857,91.85033333333332,3.4280873156438223,2.72,1.93,15.03
2026-02-20,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,93.13,94.31857142857143,91.934,3.4276538673679786,2.59,-0.25,2.77
2026-02-21,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,96.9,94.2042857142857,92.07033333333334,3.543092827122807,2.32,-0.82,4.41
2026-02-22,BARMM (Bangsamoro Autonomous Region),Vegetables,Ampalaya,kg,92.65,93.69714285714285,92.042,3.534654448311094,1.8,-3.69,-0.91
2025-12-25,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,83.2,83.2,83.2,,0.0,,
2025-12-26,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,89.77,86.485,86.485,,0.0,,
2025-12-27,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,86.41,86.46,86.46,,0.0,,
2025-12-28,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,84.48,85.965,85.965,,0.0,,
2025-12-29,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,85.48,85.86800000000001,85.86800000000001,,0.0,,
2025-12-30,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,84.05,85.565,85.565,,0.0,,
2025-12-31,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,82.83,85.17428571428572,85.17428571428572,2.37629162872782,0.0,,
2026-01-01,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,86.46,85.63999999999999,85.335,2.246489324638399,0.36,3.92,
2026-01-02,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,82.44,84.59285714285714,85.01333333333334,2.3123797266020145,-0.49,-8.17,
2026-01-03,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,81.4,83.87714285714286,84.652,2.461421450210337,-0.92,-5.8,
2026-01-04,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,88.62,84.46857142857142,85.01272727272728,2.6237571949747602,-0.64,4.9,
2026-01-05,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,80.19,83.71285714285715,84.61083333333333,2.862952888614175,-1.06,-6.19,
2026-01-06,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,78.17,82.87285714285714,84.11538461538461,3.271782428036782,-1.48,-7.0,
2026-01-07,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,81.28,82.65142857142857,83.91285714285713,3.2334773579191523,-1.5,-1.87,
2026-01-08,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,83.2,82.18571428571428,83.86533333333334,3.121288348163455,-2.0,-3.77,
2026-01-09,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,83.21,82.29571428571428,83.824375,3.019898384052019,-1.82,0.93,
2026-01-10,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,84.0,82.66714285714286,83.83470588235295,2.9243142735670924,-1.39,3.19,
2026-01-11,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,79.82,81.41,83.61166666666666,2.9906545614434226,-2.63,-9.93,
2026-01-12,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,83.65,81.90428571428572,83.61368421052632,2.9064071186227998,-2.04,4.31,
2026-01-13,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,76.76,81.70285714285714,83.271,3.2173377356539916,-1.88,-1.8,
2026-01-14,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,80.91,81.65,83.15857142857142,3.1779148599581544,-1.81,-0.46,
2026-01-15,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,82.61,81.5657142857143,83.13363636363637,3.1035318520533917,-1.89,-0.71,
2026-01-16,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,84.84,81.79857142857144,83.20782608695652,3.052980595063452,-1.69,1.96,
2026-01-17,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,83.9,81.78428571428572,83.23666666666666,2.9892149131672427,-1.74,-0.12,
2026-01-18,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,79.41,81.72571428571429,83.0836,3.024703676946444,-1.63,-0.51,
2026-01-19,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,79.48,81.13000000000001,82.94500000000001,3.046692961228618,-2.19,-4.99,
2026-01-20,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,77.62,81.25285714285714,82.74777777777778,3.15840677135377,-1.81,1.12,
2026-01-21,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,75.53,80.48428571428572,82.49,3.3862445056215114,-2.43,-6.65,
2026-01-22,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,81.86,80.37714285714286,82.46827586206896,3.3272833931490036,-2.54,-0.91,
2026-01-23,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,79.95,79.67857142857143,82.38433333333334,3.3015834062621794,-3.28,-5.76,
2026-01-24,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,82.43,79.46857142857142,82.35866666666668,3.2980147982074657,-3.51,-1.75,-0.93
2026-01-25,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,80.65,79.6457142857143,82.05466666666668,2.9979840736313417,-2.94,1.56,-10.16
2026-01-26,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,76.34,79.19714285714285,81.719,3.056692318673004,-3.09,-3.95,-11.65
2026-01-27,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,75.06,78.83142857142857,81.405,3.241535130150539,-3.16,-3.3,-11.15
2026-01-28,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,77.45,79.10571428571428,81.13733333333333,3.224935105824873,-2.5,2.54,-9.39
2026-01-29,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,76.09,78.28142857142858,80.87200000000001,3.3035293561427053,-3.2,-7.05,-9.47
2026-01-30,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,83.18,78.74285714285715,80.88366666666667,3.3112915318943887,-2.65,4.04,0.42
2026-01-31,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,84.24,79.00142857142858,80.80966666666669,3.205491498526634,-2.24,2.2,-2.57
2026-02-01,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,81.69,79.15,80.78466666666667,3.1952461815828266,-2.02,1.29,-0.91
2026-02-02,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,78.9,79.51571428571428,80.70133333333334,3.2112053095730237,-1.47,3.35,-3.07
2026-02-03,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,77.05,79.8,80.31566666666667,2.9078261620161983,-0.64,2.65,-13.06
2026-02-04,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,74.34,79.35571428571428,80.12066666666666,3.1059463917630423,-0.95,-4.02,-7.3
2026-02-05,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,80.33,79.96142857142857,80.19266666666667,3.0841272541093927,-0.29,5.57,2.76
2026-02-06,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,82.89,79.92,80.24633333333333,3.117527184665203,-0.41,-0.35,1.98
2026-02-07,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,78.64,79.12,80.09433333333332,3.0794834803497886,-1.22,-6.65,-5.48
2026-02-08,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,78.31,78.63714285714286,79.931,3.0382019977793573,-1.62,-4.14,-5.89
2026-02-09,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,74.65,78.03,79.61933333333333,3.0856038735339912,-2.0,-5.39,-11.13
2026-02-10,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,74.77,77.70428571428572,79.45100000000001,3.2095400357963255,-2.2,-2.96,-6.33
2026-02-11,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,72.53,77.44571428571429,79.08033333333334,3.3470527265077825,-2.07,-2.43,-13.29
2026-02-12,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,76.19,76.85428571428572,79.06133333333334,3.3622618960264625,-2.79,-5.15,-0.74
2026-02-13,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,79.2,76.32714285714287,79.00433333333334,3.344287649867707,-3.39,-4.45,-2.11
2026-02-14,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,79.08,76.39,78.88666666666667,3.2744205418757195,-3.16,0.56,-4.27
2026-02-15,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,77.78,76.31428571428572,78.65133333333333,3.0797119584673274,-2.97,-0.68,-8.32
2026-02-16,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,69.18,75.53285714285714,78.16066666666667,3.3732680698789155,-3.36,-7.33,-17.54
2026-02-17,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,74.47,75.49000000000001,77.99600000000001,3.4302705231612904,-3.21,-0.4,-6.22
2026-02-18,BARMM (Bangsamoro Autonomous Region),Fruits,Avocado,kg,76.08,75.99714285714286,77.88266666666667,3.435711975938826,-2.42,4.89,-4.28
